Interval=	0.04 s		
ExcelDateTime=	4.23E+04	45:38.2	
TimeFormat=	StartOfBlock		
DateFormat=			
ChannelTitle=	BP	ECG	Integrated MSNA
Range=	5.000 V	100.00 mV	2.000 V
UnitName=	mmHg	*	*
TopValue=	500	*	*
BottomValue=	-500	*	*
281.08	82.90157	-0.1909375	0.1436984
281.12	77.08672	-0.1821875	0.1798656
281.16	76.48946	-0.1835156	0.1867094
281.2	78.68125	-0.1851563	0.1769766
281.24	78.44141	-0.1152344	0.130925
281.28	75.16055	-0.1021094	0.08048281
281.32	72.20156	-0.2217969	0.06800156
281.36	70.08828	0.1764063	0.05417656
281.4	68.81718	0.1303906	-0.01091875
281.44	67.46133	-0.2354687	-0.04973438
281.48	66.26719	-0.1961719	-0.04346406
281.52	64.53633	-0.16125	-0.03599219
281.56	65.4293	-0.0615625	-0.02833438
281.6	92.49883	0.1000781	-0.04190313
281.64	122.6707	-0.02203125	-0.0358
281.68	106.5133	-0.2349219	-0.02618281
281.72	91.69883	-0.2682812	-0.01185469
281.76	88.2457	-0.2545312	-0.005209375
281.8	88.28086	-0.2319531	0.01271719
281.84	84.41328	-0.2116406	0.06588281
281.88	78.04492	-0.2089062	0.08967187
281.92	77.27031	-0.2133594	0.1229187
281.96	79.19141	-0.2129688	0.1335719
282	78.47422	-0.2107031	0.09193437
282.04	75.42265	-0.1628125	0.06873906
282.08	72.36836	-0.09179688	0.04722187
282.12	70.22031	-0.2125	-0.0074
282.16	68.56172	-0.166875	-0.02132031
282.2	66.87852	0.5042188	-0.02542656
282.24	65.76797	-0.2514062	-0.02197187
282.28	64.69688	-0.2007813	-0.000209375
282.32	63.68867	-0.1683594	-0.001628125
282.36	62.91055	-0.09359375	-0.02651875
282.4	81.99609	0.0759375	-0.02716719
282.44	120.4023	0.06234375	-0.04117969
282.48	111.7484	-0.1650781	-0.05680625
282.52	93.22969	-0.2442188	-0.0532375
282.56	87.30703	-0.2270313	-0.06179688
282.6	87.27344	-0.2044531	-0.06892812
282.64	85.11094	-0.1820313	-0.04419844
282.68	78.72695	-0.1840625	-0.04172187
282.72	76.85274	-0.1898438	-0.05701094
282.76	78.4539	-0.1923437	-0.04445937
282.8	78.85313	-0.1852344	-0.03925
282.84	76.0707	-0.1228906	-0.01281719
282.88	73.3082	-0.10875	-0.01646094
282.92	70.96797	-0.2213281	-0.01003438
282.96	69.30586	0.07671875	-0.02336875
283	68.00899	0.2167187	-0.05387656
283.04	66.82617	-0.2478125	-0.05736094
283.08	65.90625	-0.22	-0.0523125
283.12	64.29258	-0.1900781	-0.03901562
283.16	64.48555	-0.09507812	-0.02356406
283.2	88.46484	0.06304687	-0.000803125
283.24	121.4832	-0.03296875	-0.01737656
283.28	107.3785	-0.2478125	-0.02640781
283.32	91.39805	-0.2926563	-0.01788437
283.36	87.0332	-0.2728906	0.01230156
283.4	87.12032	-0.2465625	0.0325625
283.44	83.25391	-0.236875	0.03695937
283.48	77.74336	-0.2294531	0.04160313
283.52	77.31875	-0.2304688	0.04392031
283.56	78.90547	-0.2289063	-0.00753125
283.6	78.34062	-0.1782812	-0.01020938
283.64	75.56211	-0.131875	-0.03924375
283.68	72.8457	-0.2505469	-0.03050937
283.72	70.68125	-0.1317969	-0.00899375
283.76	69.17305	0.3114063	0.01145156
283.8	67.72617	-0.2936719	-0.009171875
283.84	66.78555	-0.2499219	-0.01887188
283.88	65.26992	-0.2188281	-0.03746875
283.92	64.23672	-0.1332813	-0.05087969
283.96	79.80196	0.0334375	-0.05208594
284	116.6203	-0.035	-0.05781094
284.04	110.2715	-0.2560156	-0.04447969
284.08	91.95625	-0.3171094	-0.03460781
284.12	85.79883	-0.30875	-0.04566563
284.16	85.46758	-0.2839062	-0.03270625
284.2	82.23047	-0.2558594	-0.01697344
284.24	77.01367	-0.2513281	-0.02662031
284.28	76.91875	-0.2550781	-0.01935781
284.32	79.18984	-0.2415625	-0.02016875
284.36	78.36601	-0.185	-0.01471094
284.4	75.17539	-0.1882813	-0.03135
284.44	72.36562	-0.2934375	-0.01787344
284.48	70.56953	0.08835937	-0.01779844
284.52	69.01172	0.00390625	-0.0222125
284.56	67.79765	-0.3014062	-0.05270937
284.6	66.60429	-0.2601563	-0.04574688
284.64	65.04219	-0.2239844	-0.04581875
284.68	64.98789	-0.1197656	-0.04723906
284.72	86.46641	0.02007813	-0.04529063
284.76	119.5008	-0.109375	-0.04081094
284.8	106.2508	-0.2929688	-0.04136406
284.84	89.78477	-0.3226563	-0.05163281
284.88	85.74453	-0.3032813	-0.04932656
284.92	85.32774	-0.2753906	-0.03749375
284.96	80.60664	-0.2528906	-0.01116094
285	76.32851	-0.2442969	-0.02004375
285.04	77.55898	-0.24	-0.0271375
285.08	79.88789	-0.1767187	-0.04954375
285.12	78.1543	-0.1482813	-0.05274688
285.16	74.63554	-0.263125	-0.0637875
285.2	72.33984	-0.0509375	-0.06124062
285.24	70.34727	0.2660938	-0.03465625
285.28	69.21875	-0.2751563	-0.02304688
285.32	68.03593	-0.220625	-0.03018281
285.36	66.32969	-0.1839062	-0.0395375
285.4	65.9418	-0.08921875	-0.03603281
285.44	87.99141	0.07835938	-0.01847656
285.48	121.7715	-0.01398437	-0.02130781
285.52	108.8551	-0.2280469	-0.01591875
285.56	93.3582	-0.2732812	-0.02101875
285.6	89.24687	-0.2596094	-0.0455375
285.64	89.06836	-0.22875	-0.04380469
285.68	85.15039	-0.2002344	-0.03933437
285.72	79.27031	-0.1934375	-0.05778594
285.76	78.79219	-0.1965625	-0.0686625
285.8	80.48828	-0.1949219	-0.0683375
285.84	79.93477	-0.1961719	-0.0363875
285.88	76.42735	-0.1407812	-0.02988125
285.92	73.59883	-0.09703125	-0.02666094
285.96	71.475	-0.2202344	-0.01783594
286	69.98125	-0.04609375	-0.03403281
286.04	68.35899	0.3739063	-0.06026563
286.08	67.15	-0.2421875	-0.05304531
286.12	66.05898	-0.1976563	-0.05154844
286.16	64.76797	-0.1675	-0.05687969
286.2	65.125	-0.08460938	-0.05278906
286.24	90.70547	0.080625	-0.06080781
286.28	123.1508	0.01851563	-0.05537188
286.32	108.2758	-0.1980469	-0.06281719
286.36	92.74141	-0.2597656	-0.06557031
286.4	89.19961	-0.2401562	-0.05851875
286.44	89.17031	-0.2183594	-0.0484875
286.48	85.54297	-0.1921094	-0.04005625
286.52	78.84102	-0.1954687	-0.04209375
286.56	78.11797	-0.20125	-0.02846094
286.6	79.76406	-0.2046875	-0.02423594
286.64	79.25781	-0.2072656	-0.027325
286.68	76.31992	-0.2050781	-0.03455938
286.72	73.51133	-0.1745312	-0.036475
286.76	71.1793	-0.1022656	-0.0177
286.8	69.50899	-0.221875	-0.01753594
286.84	68.03555	-0.2254688	-0.02020469
286.88	66.58437	0.5121094	-0.03268594
286.92	65.07578	-0.3046875	-0.034825
286.96	64.14219	-0.2510156	-0.05605156
287	62.83164	-0.2225781	-0.05807656
287.04	61.88633	-0.1574219	-0.06059219
287.08	77.09258	-0.002578125	-0.04334219
287.12	116.3273	-0.000546875	-0.01361406
287.16	112.4418	-0.2245312	-0.02525156
287.2	93.05782	-0.3128125	-0.046
287.24	86.23906	-0.3077344	-0.02810469
287.28	85.75273	-0.2809375	-0.05135313
287.32	83.58047	-0.2638281	-0.03630312
287.36	77.62187	-0.2490625	-0.02371875
287.4	75.98985	-0.2539844	-0.02114375
287.44	77.65898	-0.2555469	-0.01380625
287.48	78.1582	-0.2424219	0.00700625
287.52	75.6082	-0.1628906	-0.006148438
287.56	72.48438	-0.2577344	-0.0281
287.6	70.26485	-0.3207813	-0.03768281
287.64	68.56289	0.4499219	-0.056225
287.68	66.99375	-0.3634375	-0.0832125
287.72	65.87852	-0.2839844	-0.06411719
287.76	64.71875	-0.2541406	-0.06157344
287.8	63.10195	-0.2014062	-0.07931563
287.84	66.82774	-0.05484375	-0.06697813
287.88	99.28398	-0.001328125	-0.06493125
287.92	116.0504	-0.2089844	-0.053875
287.96	96.6461	-0.3314063	-0.03385938
288	84.9668	-0.3339844	-0.01029375
288.04	82.53125	-0.3122656	0.02295313
288.08	81.25586	-0.2826562	0.09584219
288.12	75.97813	-0.2682812	0.1416953
288.16	74.22929	-0.260625	0.1633016
288.2	76.5375	-0.2536719	0.1545313
288.24	77.67891	-0.1745312	0.1242203
288.28	74.68789	-0.2075	0.06550781
288.32	71.67226	-0.2858594	0.03624062
288.36	69.65547	0.3196094	-0.01149687
288.4	68.35234	-0.1750781	-0.0333625
288.44	66.96445	-0.2723438	-0.02245781
288.48	65.90508	-0.23875	-0.0427
288.52	64.13477	-0.1978906	-0.05915469
288.56	65.2957	-0.06945313	-0.0536875
288.6	93.28398	0.0534375	-0.06627812
288.64	119.0328	-0.1126562	-0.05486406
288.68	102.0957	-0.2748437	-0.04542344
288.72	88.02539	-0.2932812	-0.05364844
288.76	84.76015	-0.269375	-0.05128437
