Interval=	0.04 s
ExcelDateTime=	4.3787678749791849e+04	11/18/19 16:17:23.982016
TimeFormat=	StartOfFile
DateFormat=	
ChannelTitle=	Fino. BP	ECG	Int MSNA Iowa
Range=	10.000 V	100.00 mV	10.000 V
UnitName=	mmHg	*	*
TopValue=	1000.00	*	*
BottomValue=	-1000.00	*	*
7516.329094	69.34932	-0.7882813	0.9983672
7516.369094	68.50174	-1.804492	1.012977
7516.409094	67.82481	-1.87168	1.030453
7516.449094	66.95013	-1.872266	1.023055
7516.489094	65.32687	-1.841406	1.057953
7516.529094	66.64233	-1.787305	1.078422
7516.569094	83.66231	-1.722852	1.046813
7516.609094	105.206	-1.59043	1.045211
7516.649094	106.8149	-1.667773	1.091344
7516.689094	103.783	-1.821094	1.155992
7516.729094	99.89578	-1.834766	1.192031
7516.769094	99.78527	-1.844922	1.167344
7516.809094	96.77168	-1.856836	1.166664
7516.849094	90.43119	-1.839063	1.142102
7516.889094	87.69578	-1.824023	1.109828
7516.929094	87.88634	-1.798242	1.064953
7516.969094	86.44498	-1.804102	1.026875
7517.009094	84.53676	-1.816797	1.017367
7517.049094	81.37336	-1.813281	1.019828
7517.089094	77.93275	-1.780469	1.013734
7517.129094	75.36951	-1.761328	0.9952187
7517.169094	72.92397	-1.777148	0.9921328
7517.209094	72.30496	-1.789258	0.9616563
7517.249094	70.9649	-1.743359	0.9617188
7517.289094	70.47615	-1.641406	0.9529765
7517.329094	68.78877	-1.747852	0.9537187
7517.369094	67.87885	-1.845508	0.9358203
7517.409094	66.19717	-1.005664	0.9626797
7517.449094	65.33412	-1.624219	1.029969
7517.489094	64.39338	-1.861523	1.036898
7517.529094	63.46064	-1.868164	1.003695
7517.569094	62.18211	-1.873047	0.9530782
7517.609094	62.18238	-1.862305	0.9692812
7517.649094	76.27428	-1.798828	0.9636953
7517.689094	103.1207	-1.650391	0.9621016
7517.729094	108.265	-1.570898	0.9554531
7517.769094	105.1571	-1.783008	0.9665157
7517.809094	100.2706	-1.882227	1.008336
7517.849094	99.32502	-1.878906	1.002875
7517.889094	98.20615	-1.844141	0.9952031
7517.929094	92.21861	-1.836719	0.9928828
7517.969094	87.87347	-1.848438	0.9785547
7518.009094	86.8657	-1.850391	0.9543203
7518.049094	87.11275	-1.838477	0.9590312
7518.089094	85.19102	-1.819336	0.9681484
7518.129094	81.97556	-1.825195	0.9696094
7518.169094	78.27682	-1.839453	0.9740938
7518.209094	75.56577	-1.857813	0.991
7518.249094	72.91967	-1.801563	0.997664
7518.289094	71.60697	-1.700586	0.9830703
7518.329094	69.99213	-1.764453	1.000813
7518.369094	69.43127	-1.850195	0.9695313
7518.409094	68.55959	-1.436133	0.9649219
7518.449094	67.98595	-1.289648	0.969164
7518.489094	67.47109	-1.852539	0.9861719
7518.529094	66.24094	-1.881641	1.02057
7518.569094	65.04211	-1.889844	1.056445
7518.609094	63.77797	-1.868164	1.116672
7518.649094	64.55537	-1.797461	1.14418
7518.689094	83.10234	-1.683789	1.144766
7518.729094	103.1727	-1.589258	1.126813
7518.769094	103.253	-1.750391	1.174477
7518.809094	98.33023	-1.864258	1.129734
7518.849094	92.78226	-1.853125	1.064578
7518.889094	90.48018	-1.818164	1.048672
7518.929094	85.0377	-1.821484	1.064164
7518.969094	81.37547	-1.827539	1.05307
7519.009094	82.08078	-1.832422	1.012945
7519.049094	84.07011	-1.807813	0.9938906
7519.089094	83.43584	-1.790625	0.9654765
7519.129094	80.40729	-1.801758	0.9581875
7519.169094	76.95455	-1.810547	0.9312344
7519.209094	73.94668	-1.727344	0.9515234
7519.249094	71.27113	-1.733789	0.9922656
7519.289094	70.10168	-1.78457	1.030055
7519.329094	68.92334	-1.844531	1.014836
7519.369094	68.41254	-0.8255859	0.9800156
7519.409094	67.56316	-1.82207	0.9491406
7519.449094	67.04953	-1.850391	0.9415
7519.489094	66.23967	-1.820703	0.9387032
7519.529094	64.2735	-1.821875	0.9717656
7519.569094	65.85512	-1.809375	0.9555156
7519.609094	84.3298	-1.719727	0.9562266
7519.649094	105.528	-1.557617	0.9526094
7519.689094	106.6051	-1.631641	0.9596953
7519.729094	102.3456	-1.81543	0.9559062
7519.769094	98.59271	-1.852148	0.9995547
7519.809094	97.82338	-1.850781	0.9741563
7519.849094	93.88348	-1.808203	0.9503438
7519.889094	87.37387	-1.790625	0.9485234
7519.929094	85.70361	-1.81543	0.94925
7519.969094	85.90809	-1.823438	0.9852266
7520.009094	85.4566	-1.815234	0.9859531
7520.049094	83.08215	-1.791406	0.9869063
7520.089094	79.6292	-1.783203	0.9925078
7520.129094	76.59076	-1.79707	0.9815938
7520.169094	73.69608	-1.811328	0.9822188
7520.209094	72.2185	-1.792969	0.9719063
7520.249094	70.85254	-1.761133	0.9525938
7520.289094	70.35184	-1.761328	0.9670937
7520.329094	68.98564	-1.78457	0.9855312
7520.369094	67.90073	-1.794531	0.9761328
7520.409094	67.01594	-1.720898	0.9731172
7520.449094	65.7123	-1.625195	0.9497578
7520.489094	64.91697	-1.755078	0.9594688
7520.529094	63.63459	-1.853906	0.9574453
7520.569094	63.07824	-0.8671875	0.942039
7520.609094	62.13934	-1.675	0.953125
7520.649094	61.52719	-1.844531	0.9362813
7520.689094	60.95195	-1.851367	0.9124453
7520.729094	60.19609	-1.854297	0.9707813
7520.769094	61.10682	-1.841016	0.9790312
7520.809094	80.06414	-1.767578	0.9620313
7520.849094	105.3898	-1.628906	1.011078
7520.889094	107.7743	-1.557227	1.020352
7520.929094	102.9499	-1.745703	1.008531
7520.969094	96.95396	-1.833008	1.023148
7521.009094	96.08134	-1.82168	1.024664
7521.049094	94.52457	-1.799023	1.004273
7521.089094	87.9376	-1.801367	0.9733437
7521.129094	85.43557	-1.827539	0.9638672
7521.169094	85.0687	-1.820703	0.9648828
7521.209094	84.57658	-1.805273	0.9592265
7521.249094	81.95683	-1.787695	0.9684922
7521.289094	79.0959	-1.800391	0.9647188
7521.329094	75.87254	-1.814063	0.9661641
7521.369094	72.6633	-1.814844	0.9517891
7521.409094	71.01418	-1.795703	0.964625
7521.449094	69.08018	-1.776758	0.963539
7521.489094	68.30906	-1.792578	0.9665703
7521.529094	67.25725	-1.757812	0.9819453
7521.569094	66.09879	-1.69707	0.9939922
7521.609094	65.19256	-1.789844	0.9857969
7521.649094	64.31443	-1.8625	0.9998828
7521.689094	63.59234	-0.9228516	0.9916172
7521.729094	61.86406	-1.700781	0.9485781
7521.769094	61.59311	-1.884766	1.009328
7521.809094	60.59766	-1.862891	1.10118
7521.849094	59.5691	-1.832422	1.140945
7521.889094	59.6032	-1.820703	1.089883
7521.929094	68.63305	-1.783984	1.094812
7521.969094	94.475	-1.673438	1.137469
7522.009094	103.0892	-1.603711	1.125687
7522.049094	99.4084	-1.758008	1.140711
7522.089094	92.57924	-1.854492	1.098414
7522.129094	87.68121	-1.859961	1.060938
